Gene_Name,HT_eQTL_hits
ST7L,165
AP4B1,5
CELSR2,1
SORT1,1
PSRC1,5
NEXN,268
DNAJB4,7
GIPC2,2
SLC35D1,1
PER3,1
UBE2Q1,3
ADAM15,85
RIT1,53
MUC1,1
LY9,111
CD244,81
SLAMF7,49
IL19,27
CREM,295
CISD1,115
ADO,84
LIPA,25
SFXN2,166
C10orf32,402
NT5C2,59
AS3MT,71
USMG5,149
C10orf26,2
C11orf10,53
FADS2,51
FADS1,20
CCDC88B,35
FKBP2,46
TRMT112,46
PRDX5,38
TRPT1,11
RPS6KA4,2
CTSF,41
LRFN4,91
CCS,189
RIN1,7
C11orf30,1
PDGFD,1
TAGLN,13
SPA17,41
ST3GAL4,11
FOXRED1,7
SLC2A13,71
CACNB3,7
GALNT4,5
CMKLR1,10
SH2B3,158
FAM109A,157
TMEM116,4
SPPL3,3
C12orf43,3
TNFSF11,163
LACC1,82
RPGRIP1,5
HNRNPC,1
ZFP36L1,8
GALC,438
GPR65,93
TDRD9,14
RASGRP1,68
C15orf53,29
CTSH,247
ADAMTS7,118
FES,45
EIF3C,165
TUFM,21
SPNS1,17
APOBR,2
CCDC101,4
GGA2,195
COG7,68
DCTN5,102
NOD2,23
SNX20,4
PEMT,4
RASD1,2
SRR,141
ORMDL3,242
GSDMB,132
ZPBP2,17
GSDMA,1
CNTNAP1,81
UBE2Z,126
ATP5G1,68
ATP13A1,33
LPAR2,6
MAU2,13
SMARCA4,11
ICAM4,2
ICAM3,13
CDC37,26
GPX4,14
LOC400684,116
RABAC1,8
AHSA2,138
LOC339803,165
KIAA1841,66
PUS10,1
GPN1,111
KRTCAP3,17
C2orf28,58
SLC5A6,8
TSGA10,168
LIPT1,128
CIAO1,25
UNC50,28
FAM117B,31
SP110,30
SP140,58
DGKD,52
ANKMY1,9
CDC25B,6
PARD6B,2
CTSZ,1
STMN3,3
TH1L,2
IFNGR2,85
TMEM50B,36
GART,4
ITSN1,8
UBE2L3,94
UQCR10,10
MTMR3,28
PDGFB,53
SYNGR1,130
L3MBTL2,30
MEI1,73
PMM1,50
CCDC134,17
EP300,21
NT5DC2,305
GNL3,89
ITIH4,157
TMEM110,20
GLT8D1,21
RBM6,126
KLHDC8B,102
AMT,66
WDR6,43
NCKIPSD,7
NICN1,16
IP6K2,7
P4HTM,9
USP4,26
HYAL3,5
UBA7,7
LRRFIP2,34
TRANK1,13
CMTM8,3
COLQ,32
ANKRD28,6
FAIM,124
CEP70,48
MCCC1,135
PPM1K,1
BANK1,115
SLC39A8,11
PTGER4,71
ERAP2,369
LNPEP,162
ERAP1,96
MCTP1,15
ANKRD32,5
SLC22A5,184
SLC22A4,95
PDLIM4,11
NDFIP1,64
FGF1,23
CPEB4,92
HCG27,690
HLA-B,260
HLA-C,396
DEF6,28
AIF1,138
LST1,238
HLA-DRB1,732
HLA-DRB5,233
HLA-DQA1,1231
HLA-DQB1,1259
HLA-DQA2,525
MICB,275
HLA-DQB2,372
HCG22,432
TCF19,395
CCHCR1,231
DDR1,77
ATP6V1G2,60
HSPA1B,24
DOM3Z,41
UHRF1BP1,50
TAP2,13
VARS2,28
LY6G5C,15
CSNK2B,22
HLA-DRB4,3
TCP11,11
HLA-DPB1,2
HLA-DOB,23
PRRC2A,1
DPCR1,1
GPANK1,3
CLIC1,1
BTN3A2,107
TRIM38,82
BTN3A3,3
HIST1H2BD,1
FAM46A,4
THEMIS,3
RSPH3,10
SLC22A3,2
FGFR1OP,40
RNASET2,95
RPS6KA2,12
SKAP2,3
MAD1L1,14
GPR22,66
XKR6,1
RIPK2,2
SLC45A4,3
NUDT2,54
CDKN2B,2
TTC39B,61
JAK2,10
ZNF79,265
SLC2A8,237
RALGPS1,33
RPL12,87
SURF1,19
SURF6,2
INPP5E,168
DNLZ,190
SDCCAG3,34
CARD9,195
